geography,species,period,month_number,month,n_total_cells,n_total_cell_years,n_valid_cell_years,n_missing_cell_years,missing_fraction
North Korea,aegypti,2015-2024,5,May,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,6,June,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,7,July,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,8,August,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,9,September,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,10,October,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,11,November,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,12,December,215,2150,2150,0,0.000000
South Korea,aegypti,1975-1984,1,January,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,2,February,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,3,March,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,4,April,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,5,May,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,6,June,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,7,July,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,8,August,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,9,September,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,10,October,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,11,November,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,12,December,155,1550,1550,0,0.000000
South Korea,aegypti,1995-2004,1,January,155,1550,1550,0,0.000000
South Korea,aegypti,1995-2004,2,February,155,1550,1550,0,0.000000
South Korea,aegypti,1995-2004,3,March,155,1550,1550,0,0.000000
South Korea,aegypti,1995-2004,4,April,155,1550,1550,0,0.000000
South Korea,aegypti,1995-2004,5,May,155,1550,1550,0,0.000000
South Korea,aegypti,1995-2004,6,June,155,1550,1550,0,0.000000
South Korea,aegypti,1995-2004,7,July,155,1550,1550,0,0.000000
South Korea,aegypti,1995-2004,8,August,155,1550,1550,0,0.000000
South Korea,aegypti,1995-2004,9,September,155,1550,1550,0,0.000000
South Korea,aegypti,1995-2004,10,October,155,1550,1550,0,0.000000
South Korea,aegypti,1995-2004,11,November,155,1550,1550,0,0.000000
South Korea,aegypti,1995-2004,12,December,155,1550,1550,0,0.000000
South Korea,aegypti,2015-2024,1,January,155,1550,1550,0,0.000000
South Korea,aegypti,2015-2024,2,February,155,1550,1550,0,0.000000
South Korea,aegypti,2015-2024,3,March,155,1550,1550,0,0.000000
South Korea,aegypti,2015-2024,4,April,155,1550,1550,0,0.000000
South Korea,aegypti,2015-2024,5,May,155,1550,1550,0,0.000000
South Korea,aegypti,2015-2024,6,June,155,1550,1550,0,0.000000
South Korea,aegypti,2015-2024,7,July,155,1550,1550,0,0.000000
South Korea,aegypti,2015-2024,8,August,155,1550,1550,0,0.000000
South Korea,aegypti,2015-2024,9,September,155,1550,1550,0,0.000000
South Korea,aegypti,2015-2024,10,October,155,1550,1550,0,0.000000
South Korea,aegypti,2015-2024,11,November,155,1550,1550,0,0.000000
South Korea,aegypti,2015-2024,12,December,155,1550,1550,0,0.000000
Korean Peninsula,aegypti,1975-1984,1,January,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1975-1984,2,February,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1975-1984,3,March,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1975-1984,4,April,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1975-1984,5,May,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1975-1984,6,June,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1975-1984,7,July,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1975-1984,8,August,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1975-1984,9,September,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1975-1984,10,October,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1975-1984,11,November,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1975-1984,12,December,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1995-2004,1,January,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1995-2004,2,February,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1995-2004,3,March,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1995-2004,4,April,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1995-2004,5,May,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1995-2004,6,June,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1995-2004,7,July,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1995-2004,8,August,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1995-2004,9,September,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1995-2004,10,October,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1995-2004,11,November,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,1995-2004,12,December,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,2015-2024,1,January,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,2015-2024,2,February,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,2015-2024,3,March,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,2015-2024,4,April,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,2015-2024,5,May,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,2015-2024,6,June,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,2015-2024,7,July,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,2015-2024,8,August,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,2015-2024,9,September,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,2015-2024,10,October,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,2015-2024,11,November,370,3700,3700,0,0.000000
Korean Peninsula,aegypti,2015-2024,12,December,370,3700,3700,0,0.000000
Japan,aegypti,1975-1984,1,January,607,6070,6070,0,0.000000
Japan,aegypti,1975-1984,2,February,607,6070,6070,0,0.000000
Japan,aegypti,1975-1984,3,March,607,6070,6070,0,0.000000
Japan,aegypti,1975-1984,4,April,607,6070,6070,0,0.000000
Japan,aegypti,1975-1984,5,May,607,6070,6070,0,0.000000
Japan,aegypti,1975-1984,6,June,607,6070,6070,0,0.000000
Japan,aegypti,1975-1984,7,July,607,6070,6070,0,0.000000
Japan,aegypti,1975-1984,8,August,607,6070,6070,0,0.000000
Japan,aegypti,1975-1984,9,September,607,6070,6070,0,0.000000
Japan,aegypti,1975-1984,10,October,607,6070,6070,0,0.000000
Japan,aegypti,1975-1984,11,November,607,6070,6070,0,0.000000
Japan,aegypti,1975-1984,12,December,607,6070,6070,0,0.000000
Japan,aegypti,1995-2004,1,January,607,6070,6070,0,0.000000
Japan,aegypti,1995-2004,2,February,607,6070,6070,0,0.000000
Japan,aegypti,1995-2004,3,March,607,6070,6070,0,0.000000
Japan,aegypti,1995-2004,4,April,607,6070,6070,0,0.000000
Japan,aegypti,1995-2004,5,May,607,6070,6070,0,0.000000
Japan,aegypti,1995-2004,6,June,607,6070,6070,0,0.000000
Japan,aegypti,1995-2004,7,July,607,6070,6070,0,0.000000
Japan,aegypti,1995-2004,8,August,607,6070,6070,0,0.000000
Japan,aegypti,1995-2004,9,September,607,6070,6070,0,0.000000
Japan,aegypti,1995-2004,10,October,607,6070,6070,0,0.000000
Japan,aegypti,1995-2004,11,November,607,6070,6070,0,0.000000
Japan,aegypti,1995-2004,12,December,607,6070,6070,0,0.000000
Japan,aegypti,2015-2024,1,January,607,6070,6070,0,0.000000
Japan,aegypti,2015-2024,2,February,607,6070,6070,0,0.000000
Japan,aegypti,2015-2024,3,March,607,6070,6070,0,0.000000
Japan,aegypti,2015-2024,4,April,607,6070,6070,0,0.000000
Japan,aegypti,2015-2024,5,May,607,6070,6070,0,0.000000
Japan,aegypti,2015-2024,6,June,607,6070,6070,0,0.000000
Japan,aegypti,2015-2024,7,July,607,6070,6070,0,0.000000
Japan,aegypti,2015-2024,8,August,607,6070,6070,0,0.000000
Japan,aegypti,2015-2024,9,September,607,6070,6070,0,0.000000
Japan,aegypti,2015-2024,10,October,607,6070,6070,0,0.000000
Japan,aegypti,2015-2024,11,November,607,6070,6070,0,0.000000
Japan,aegypti,2015-2024,12,December,607,6070,6070,0,0.000000
Korea-Japan,aegypti,1975-1984,1,January,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1975-1984,2,February,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1975-1984,3,March,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1975-1984,4,April,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1975-1984,5,May,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1975-1984,6,June,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1975-1984,7,July,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1975-1984,8,August,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1975-1984,9,September,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1975-1984,10,October,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1975-1984,11,November,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1975-1984,12,December,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1995-2004,1,January,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1995-2004,2,February,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1995-2004,3,March,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1995-2004,4,April,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1995-2004,5,May,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1995-2004,6,June,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1995-2004,7,July,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1995-2004,8,August,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1995-2004,9,September,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1995-2004,10,October,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1995-2004,11,November,977,9770,9770,0,0.000000
Korea-Japan,aegypti,1995-2004,12,December,977,9770,9770,0,0.000000
Korea-Japan,aegypti,2015-2024,1,January,977,9770,9770,0,0.000000
Korea-Japan,aegypti,2015-2024,2,February,977,9770,9770,0,0.000000
Korea-Japan,aegypti,2015-2024,3,March,977,9770,9770,0,0.000000
Korea-Japan,aegypti,2015-2024,4,April,977,9770,9770,0,0.000000
Korea-Japan,aegypti,2015-2024,5,May,977,9770,9770,0,0.000000
Korea-Japan,aegypti,2015-2024,6,June,977,9770,9770,0,0.000000
Korea-Japan,aegypti,2015-2024,7,July,977,9770,9770,0,0.000000
Korea-Japan,aegypti,2015-2024,8,August,977,9770,9770,0,0.000000
Korea-Japan,aegypti,2015-2024,9,September,977,9770,9770,0,0.000000
Korea-Japan,aegypti,2015-2024,10,October,977,9770,9770,0,0.000000
Korea-Japan,aegypti,2015-2024,11,November,977,9770,9770,0,0.000000
Korea-Japan,aegypti,2015-2024,12,December,977,9770,9770,0,0.000000
North Korea,albopictus,1975-1984,1,January,215,2150,2150,0,0.000000
North Korea,albopictus,1975-1984,2,February,215,2150,2150,0,0.000000
North Korea,albopictus,1975-1984,3,March,215,2150,2150,0,0.000000
North Korea,albopictus,1975-1984,4,April,215,2150,2150,0,0.000000
North Korea,albopictus,1975-1984,5,May,215,2150,2150,0,0.000000
North Korea,albopictus,1975-1984,6,June,215,2150,2150,0,0.000000
North Korea,albopictus,1975-1984,7,July,215,2150,2150,0,0.000000
North Korea,albopictus,1975-1984,8,August,215,2150,2150,0,0.000000
North Korea,albopictus,1975-1984,9,September,215,2150,2150,0,0.000000
North Korea,albopictus,1975-1984,10,October,215,2150,2150,0,0.000000
North Korea,albopictus,1975-1984,11,November,215,2150,2150,0,0.000000
North Korea,albopictus,1975-1984,12,December,215,2150,2150,0,0.000000
North Korea,albopictus,1995-2004,1,January,215,2150,2150,0,0.000000
North Korea,albopictus,1995-2004,2,February,215,2150,2150,0,0.000000
North Korea,albopictus,1995-2004,3,March,215,2150,2150,0,0.000000
North Korea,albopictus,1995-2004,4,April,215,2150,2150,0,0.000000
North Korea,albopictus,1995-2004,5,May,215,2150,2150,0,0.000000
North Korea,albopictus,1995-2004,6,June,215,2150,2150,0,0.000000
North Korea,albopictus,1995-2004,7,July,215,2150,2150,0,0.000000
North Korea,albopictus,1995-2004,8,August,215,2150,2150,0,0.000000
North Korea,albopictus,1995-2004,9,September,215,2150,2150,0,0.000000
North Korea,albopictus,1995-2004,10,October,215,2150,2150,0,0.000000
North Korea,albopictus,1995-2004,11,November,215,2150,2150,0,0.000000
North Korea,albopictus,1995-2004,12,December,215,2150,2150,0,0.000000
North Korea,albopictus,2015-2024,1,January,215,2150,2150,0,0.000000
North Korea,albopictus,2015-2024,2,February,215,2150,2150,0,0.000000
North Korea,albopictus,2015-2024,3,March,215,2150,2150,0,0.000000
North Korea,albopictus,2015-2024,4,April,215,2150,2150,0,0.000000
North Korea,albopictus,2015-2024,5,May,215,2150,2150,0,0.000000
North Korea,albopictus,2015-2024,6,June,215,2150,2150,0,0.000000
North Korea,albopictus,2015-2024,7,July,215,2150,2150,0,0.000000
North Korea,albopictus,2015-2024,8,August,215,2150,2150,0,0.000000
North Korea,albopictus,2015-2024,9,September,215,2150,2150,0,0.000000
North Korea,albopictus,2015-2024,10,October,215,2150,2150,0,0.000000
North Korea,albopictus,2015-2024,11,November,215,2150,2150,0,0.000000
North Korea,albopictus,2015-2024,12,December,215,2150,2150,0,0.000000
South Korea,albopictus,1975-1984,1,January,155,1550,1550,0,0.000000
South Korea,albopictus,1975-1984,2,February,155,1550,1550,0,0.000000
South Korea,albopictus,1975-1984,3,March,155,1550,1550,0,0.000000
South Korea,albopictus,1975-1984,4,April,155,1550,1550,0,0.000000
South Korea,albopictus,1975-1984,5,May,155,1550,1550,0,0.000000
South Korea,albopictus,1975-1984,6,June,155,1550,1550,0,0.000000
South Korea,albopictus,1975-1984,7,July,155,1550,1550,0,0.000000
South Korea,albopictus,1975-1984,8,August,155,1550,1550,0,0.000000
South Korea,albopictus,1975-1984,9,September,155,1550,1550,0,0.000000
South Korea,albopictus,1975-1984,10,October,155,1550,1550,0,0.000000
South Korea,albopictus,1975-1984,11,November,155,1550,1550,0,0.000000
South Korea,albopictus,1975-1984,12,December,155,1550,1550,0,0.000000
South Korea,albopictus,1995-2004,1,January,155,1550,1550,0,0.000000
South Korea,albopictus,1995-2004,2,February,155,1550,1550,0,0.000000
South Korea,albopictus,1995-2004,3,March,155,1550,1550,0,0.000000
South Korea,albopictus,1995-2004,4,April,155,1550,1550,0,0.000000
South Korea,albopictus,1995-2004,5,May,155,1550,1550,0,0.000000
South Korea,albopictus,1995-2004,6,June,155,1550,1550,0,0.000000
South Korea,albopictus,1995-2004,7,July,155,1550,1550,0,0.000000
South Korea,albopictus,1995-2004,8,August,155,1550,1550,0,0.000000
South Korea,albopictus,1995-2004,9,September,155,1550,1550,0,0.000000
South Korea,albopictus,1995-2004,10,October,155,1550,1550,0,0.000000
South Korea,albopictus,1995-2004,11,November,155,1550,1550,0,0.000000
South Korea,albopictus,1995-2004,12,December,155,1550,1550,0,0.000000
South Korea,albopictus,2015-2024,1,January,155,1550,1550,0,0.000000
South Korea,albopictus,2015-2024,2,February,155,1550,1550,0,0.000000
South Korea,albopictus,2015-2024,3,March,155,1550,1550,0,0.000000
South Korea,albopictus,2015-2024,4,April,155,1550,1550,0,0.000000
South Korea,albopictus,2015-2024,5,May,155,1550,1550,0,0.000000
South Korea,albopictus,2015-2024,6,June,155,1550,1550,0,0.000000
South Korea,albopictus,2015-2024,7,July,155,1550,1550,0,0.000000
South Korea,albopictus,2015-2024,8,August,155,1550,1550,0,0.000000
South Korea,albopictus,2015-2024,9,September,155,1550,1550,0,0.000000
South Korea,albopictus,2015-2024,10,October,155,1550,1550,0,0.000000
South Korea,albopictus,2015-2024,11,November,155,1550,1550,0,0.000000
South Korea,albopictus,2015-2024,12,December,155,1550,1550,0,0.000000
Korean Peninsula,albopictus,1975-1984,1,January,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1975-1984,2,February,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1975-1984,3,March,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1975-1984,4,April,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1975-1984,5,May,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1975-1984,6,June,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1975-1984,7,July,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1975-1984,8,August,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1975-1984,9,September,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1975-1984,10,October,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1975-1984,11,November,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1975-1984,12,December,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1995-2004,1,January,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1995-2004,2,February,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1995-2004,3,March,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1995-2004,4,April,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1995-2004,5,May,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1995-2004,6,June,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1995-2004,7,July,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1995-2004,8,August,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1995-2004,9,September,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1995-2004,10,October,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1995-2004,11,November,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,1995-2004,12,December,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,2015-2024,1,January,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,2015-2024,2,February,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,2015-2024,3,March,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,2015-2024,4,April,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,2015-2024,5,May,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,2015-2024,6,June,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,2015-2024,7,July,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,2015-2024,8,August,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,2015-2024,9,September,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,2015-2024,10,October,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,2015-2024,11,November,370,3700,3700,0,0.000000
Korean Peninsula,albopictus,2015-2024,12,December,370,3700,3700,0,0.000000
Japan,albopictus,1975-1984,1,January,607,6070,6070,0,0.000000
Japan,albopictus,1975-1984,2,February,607,6070,6070,0,0.000000
Japan,albopictus,1975-1984,3,March,607,6070,6070,0,0.000000
Japan,albopictus,1975-1984,4,April,607,6070,6070,0,0.000000
Japan,albopictus,1975-1984,5,May,607,6070,6070,0,0.000000
Japan,albopictus,1975-1984,6,June,607,6070,6070,0,0.000000
Japan,albopictus,1975-1984,7,July,607,6070,6070,0,0.000000
Japan,albopictus,1975-1984,8,August,607,6070,6070,0,0.000000
Japan,albopictus,1975-1984,9,September,607,6070,6070,0,0.000000
Japan,albopictus,1975-1984,10,October,607,6070,6070,0,0.000000
Japan,albopictus,1975-1984,11,November,607,6070,6070,0,0.000000
Japan,albopictus,1975-1984,12,December,607,6070,6070,0,0.000000
Japan,albopictus,1995-2004,1,January,607,6070,6070,0,0.000000
Japan,albopictus,1995-2004,2,February,607,6070,6070,0,0.000000
Japan,albopictus,1995-2004,3,March,607,6070,6070,0,0.000000
Japan,albopictus,1995-2004,4,April,607,6070,6070,0,0.000000
Japan,albopictus,1995-2004,5,May,607,6070,6070,0,0.000000
Japan,albopictus,1995-2004,6,June,607,6070,6070,0,0.000000
Japan,albopictus,1995-2004,7,July,607,6070,6070,0,0.000000
Japan,albopictus,1995-2004,8,August,607,6070,6070,0,0.000000
Japan,albopictus,1995-2004,9,September,607,6070,6070,0,0.000000
Japan,albopictus,1995-2004,10,October,607,6070,6070,0,0.000000
Japan,albopictus,1995-2004,11,November,607,6070,6070,0,0.000000
Japan,albopictus,1995-2004,12,December,607,6070,6070,0,0.000000
Japan,albopictus,2015-2024,1,January,607,6070,6070,0,0.000000
Japan,albopictus,2015-2024,2,February,607,6070,6070,0,0.000000
Japan,albopictus,2015-2024,3,March,607,6070,6070,0,0.000000
Japan,albopictus,2015-2024,4,April,607,6070,6070,0,0.000000
Japan,albopictus,2015-2024,5,May,607,6070,6070,0,0.000000
Japan,albopictus,2015-2024,6,June,607,6070,6070,0,0.000000
Japan,albopictus,2015-2024,7,July,607,6070,6070,0,0.000000
Japan,albopictus,2015-2024,8,August,607,6070,6070,0,0.000000
Japan,albopictus,2015-2024,9,September,607,6070,6070,0,0.000000
Japan,albopictus,2015-2024,10,October,607,6070,6070,0,0.000000
Japan,albopictus,2015-2024,11,November,607,6070,6070,0,0.000000
Japan,albopictus,2015-2024,12,December,607,6070,6070,0,0.000000
Korea-Japan,albopictus,1975-1984,1,January,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1975-1984,2,February,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1975-1984,3,March,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1975-1984,4,April,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1975-1984,5,May,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1975-1984,6,June,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1975-1984,7,July,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1975-1984,8,August,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1975-1984,9,September,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1975-1984,10,October,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1975-1984,11,November,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1975-1984,12,December,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1995-2004,1,January,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1995-2004,2,February,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1995-2004,3,March,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1995-2004,4,April,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1995-2004,5,May,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1995-2004,6,June,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1995-2004,7,July,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1995-2004,8,August,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1995-2004,9,September,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1995-2004,10,October,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1995-2004,11,November,977,9770,9770,0,0.000000
Korea-Japan,albopictus,1995-2004,12,December,977,9770,9770,0,0.000000
Korea-Japan,albopictus,2015-2024,1,January,977,9770,9770,0,0.000000
Korea-Japan,albopictus,2015-2024,2,February,977,9770,9770,0,0.000000
Korea-Japan,albopictus,2015-2024,3,March,977,9770,9770,0,0.000000
Korea-Japan,albopictus,2015-2024,4,April,977,9770,9770,0,0.000000
Korea-Japan,albopictus,2015-2024,5,May,977,9770,9770,0,0.000000
Korea-Japan,albopictus,2015-2024,6,June,977,9770,9770,0,0.000000
Korea-Japan,albopictus,2015-2024,7,July,977,9770,9770,0,0.000000
Korea-Japan,albopictus,2015-2024,8,August,977,9770,9770,0,0.000000
Korea-Japan,albopictus,2015-2024,9,September,977,9770,9770,0,0.000000
Korea-Japan,albopictus,2015-2024,10,October,977,9770,9770,0,0.000000
Korea-Japan,albopictus,2015-2024,11,November,977,9770,9770,0,0.000000
Korea-Japan,albopictus,2015-2024,12,December,977,9770,9770,0,0.000000
